State,monthly_electricity_usage_kwh,solar_irradiation_kwh_m2_year,wind_speed_ms,temperature_avg_c,grid_stability,rainfall_mm,solar_cost_per_watt_inr,solar_installation_cost_inr_kw,solar_maintenance_cost_percent,solar_lifespan_years,wind_turbine_cost_inr_kw,wind_turbine_installation_cost_inr_kw,wind_turbine_maintenance_cost_percent,wind_turbine_lifespan_years,biogas_plant_cost_inr,biogas_installation_cost_inr,biogas_maintenance_cost_percent,biogas_lifespan_years,electricity_price_per_kwh_inr,electricity_price_increase_percent_year,inflation_rate_percent,recommended_energy_alternative
Andhra Pradesh,5920833333,1800,3.5,30,medium,309.6,50,55000,1.5,25,69500,90000,20,7,17000,25000,20,5,Solar PV,60,,Solar
Arunachal Pradesh,42500000,1600,2,18,low,41.6,60,70000,1.5,25,65000,90000,40,20,22000,35000,40,20,5,,,Biogas
Assam,817500000,1500,2,22,low,18.6,60,70000,1.5,25,71000,90000,40,20,22000,37000,40,20,5,,,Biogas
Bihar,2212500000,1700,3,24,low,26.55,70,70000,1.5,25,72000,85000,40,20,17000,30000,40,20,5,,,Biogas
Chhattisgarh,3663333333,1800,3,27,medium,37.3,70,65000,1.5,25,70000,85000,40,20,17000,25000,40,20,5,,,Solar
Goa,335000000,1900,3,29,medium,75,75,80000,1.5,25,68000,90000,20,5,17000,32000,20,5,,,,Solar
Gujarat,10405833333,2000,8,32,high,90.8,72,57600,1.5,25,68500,80000,20,20,16500,28000,6,40,20,5,Wind,Solar
Haryana,4140000000,1800,4,29,medium,77,71,80000,1.5,25,70500,85000,40,20,17000,31000,40,20,5,,,Solar
Himachal Pradesh,860833333,1700,5,15,medium,80,76,80000,1.5,25,76000,90000,40,20,22000,32000,40,20,5,,,Solar
Jharkhand,2522500000,1700,2,26,low,80,77,75000,1.5,25,69500,85000,20,5,17000,35000,20,5,,,,Biogas
Karnataka,6098333333,1900,3,28,low,230,73,73200,1.5,25,72500,80000,20,15,17000,29000,6,40,20,5,Solar PV,Solar
Kerala,2094166667,1800,6,28,medium,486.7,75,65000,1.5,25,74000,90000,40,20,17000,27500,40,20,5,,,Solar
Madhya Pradesh,5905000000,1900,4,30,medium,78,76,62000,1.5,25,76000,85000,40,20,16500,26500,40,20,5,,,Solar
Maharashtra,12454166667,1900,3,30,low,90.8,50,61200,1.5,25,74500,80000,20,15,17000,22500,6,40,20,5,Solar PV,Solar
Manipur,60833333,1600,6,23,low,80,76,70000,1.5,25,78500,90000,20,10,22000,24000,20,5,,,,Wind
Meghalaya,128333333,1600,3,18,low,0,65,70000,1.5,25,79500,90000,40,20,21000,30000,40,20,5,,,Biogas
Mizoram,55000000,1600,4,23,low,80,79,80000,1.5,25,74000,90000,20,12,17000,32000,20,5,,,,Biogas
Nagaland,58333333,1600,2,23,low,80,71,78000,1.5,25,76000,90000,20,20,16500,24000,20,5,,,,Biogas
Odisha,6837500000,1800,3,28,medium,75,73,79000,1.5,25,75200,85000,20,20,18000,23500,20,5,,,,Solar
Punjab,4684166667,1800,4,29,low,77,74,76500,1.5,25,71500,85000,40,20,22000,28000,40,20,5,,,Solar
Rajasthan,6626666667,2100,3,32,medium,79.52,50,63200,1.5,25,70000,80000,20,15,17000,26500,6,40,20,5,Solar PV,Solar
Sikkim,36750000,1600,2,18,low,4.69,80,70000,1.5,25,76000,90000,40,20,22000,40000,40,20,5,,,Biogas
Tamil Nadu,9103333333,1900,3,30,low,583.8,50,65000,1.5,25,73000,80000,20,18,18000,26000,6,40,20,5,Solar PV,Solar
Telangana,5473333333,1900,4,30,medium,82.4,77,67400,1.5,25,74000,85000,20,20,17000,25000,20,20,,,,Solar
Tripura,87500000,1600,3,26,low,18.06,80,70000,1.5,25,72500,90000,40,20,22000,32000,40,20,5,,,Biogas
Uttar Pradesh,9130833333,1800,3,29,medium,77,72,65000,1.5,25,69500,85000,40,20,22000,33000,40,20,5,,,Solar
Uttarakhand,1121666667,1700,6,23,low,80,78,78000,1.5,25,70000,90000,40,20,18000,25000,40,20,5,,,Wind
West Bengal,4592500000,1700,7,28,medium,55.11,80,70000,1.5,25,74500,85000,40,20,22000,26000,40,20,5,,,Wind
